season,SppAlphaCode,detection_richness,prop_of_sites,ScientificName,CommonNameEnglish
ovrwintr,LEYE,66,0.014084507042253521,Tringa flavipes,Lesser Yellowlegs
ovrwintr,MACU,66,0.028169014084507043,Coccyzus minor,Mangrove Cuckoo
ovrwintr,MAFR,66,0.15492957746478872,Fregata magnificens,Magnificent Frigatebird
ovrwintr,MAWA,66,0.014084507042253521,Setophaga magnolia,Magnolia Warbler
ovrwintr,MERL,66,0.8169014084507042,Falco columbarius,Merlin
ovrwintr,MODO,66,0.971830985915493,Zenaida macroura,Mourning Dove
ovrwintr,NOMO,66,0.9577464788732394,Mimus polyglottos,Northern Mockingbird
ovrwintr,NOPA,66,0.7464788732394366,Setophaga americana,Northern Parula
ovrwintr,OSPR,66,0.16901408450704225,Pandion haliaetus,Osprey
ovrwintr,OVEN,66,0.04225352112676056,Seiurus aurocapilla,Ovenbird
ovrwintr,PALM,66,0.971830985915493,Dulus dominicus,Palmchat
ovrwintr,PAWA,66,0.014084507042253521,Setophaga palmarum,Palm Warbler
ovrwintr,PEFA,66,0.2676056338028169,Falco peregrinus,Peregrine Falcon
ovrwintr,PETH,66,0.028169014084507043,Margarops fuscatus,Pearly-eyed Thrasher
ovrwintr,PRAW,66,0.2535211267605634,Setophaga discolor,Prairie Warbler
ovrwintr,PUMA,66,0.014084507042253521,Progne subis,Purple Martin
ovrwintr,RBGR,66,0.014084507042253521,Pheucticus ludovicianus,Rose-breasted Grosbeak
ovrwintr,RLTH,66,0.4507042253521127,Turdus plumbeus,Red-legged Thrush
ovrwintr,ROPI,66,0.971830985915493,Columba livia,Rock Pigeon
ovrwintr,ROYT,66,0.1267605633802817,Thalasseus maximus,Royal Tern
ovrwintr,RUTU,66,0.014084507042253521,Arenaria interpres,Ruddy Turnstone
ovrwintr,SATE,66,0.07042253521126761,Thalasseus sandvicensis,Sandwich Tern
ovrwintr,SBMU,66,0.09859154929577464,Lonchura punctulata,Scaly-breasted Munia
ovrwintr,SEPL,66,0.028169014084507043,Charadrius semipalmatus,Semipalmated Plover
ovrwintr,SHCO,66,0.08450704225352113,Molothrus bonariensis,Shiny Cowbird
ovrwintr,SNEG,66,0.04225352112676056,Egretta thula,Snowy Egret
ovrwintr,SNPI,66,0.056338028169014086,Patagioenas squamosa,Scaly-naped Pigeon
ovrwintr,SPSA,66,0.08450704225352113,Actitis macularius,Spotted Sandpiper
ovrwintr,TUVU,66,0.04225352112676056,Cathartes aura,Turkey Vulture
ovrwintr,VEHU,66,0.9436619718309859,Mellisuga minima,Vervain Hummingbird
ovrwintr,VIWE,66,0.352112676056338,Ploceus cucullatus,Village Weaver
ovrwintr,WWDO,66,0.971830985915493,Zenaida asiatica,White-winged Dove
