ScientificName,CommonNameEnglish,AlphaCode,CommonNameSpanish,OccurenceStatus,ForagingSubGuildEnglish,ForagingGuildEnglish,ForagingSubGuildSpanish,ForagingGuildSpanish
Chordeiles minor,Common Nighthawk,CONI,Querebebé Migratorio,M,Invertivore,Invertivore,Invertívoro,Invertívoro
Sterna hirundo,Common Tern,COTE,Charrán Común,M,Pisc-Invert,Piscivore,Pisc-Invert,Piscívoro
Geothlypis trichas,Common Yellowthroat,COYE,Cigüita Enmascarada,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Setophaga pensylvanica,Chestnut-sided Warbler,CSWA,Cigüita de Costados Castaños,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Antrostomus carolinensis,Chuck-will's-Widow,CWWI,Don Juan,M,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Calyptophilus frugivorus,Eastern Chat-Tanager,EACT,Chirrí de Neyba,E,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Streptopelia decaocto,Eurasian Collared-Dove,EUCD,Collarina,I,Gran-Frug,Granivore,Gran-Frug,Granívoro
Vireo nanus,Flat-billed Vireo,FBVI,Cigüita Juliana,E,Invert-glean,Invertivore,Invert-busc,Invertívoro
Tyrannus savana,Fork-tailed Flycatcher,FTFL,Papamoscas de Cola Bifurcada,V,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Loxigilla violacea,Greater Antillean Bullfinch,GABU,Gallito Prieto,R,frug-Gran,Frugivore,frug-Gran,Frugívoro
Elaenia fallax,Greater Antillean Elaenia,GAEL,Maroita Canosa,R,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Quiscalus niger,Greater Antillean Grackle,GAGR,Chinchilín,R,Omnivore,Omnivore,Omnívoro,Omnívoro
Antrostomus cubanensis,Greater Antillean Nightjar,GANI,Pitanguá,R,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Ardea herodias,Great Blue Heron,GBHE,Garzón,"R, M",Pisc-Carn,Piscivore,Pisc-Carn,Piscívoro
Gelochelidon nilotica,Gull-billed Tern,GBTE,Charrán Piquigrueso,M,Invert-Carn,Invertivore,Invert-Carn,Invertívoro
