season,detection_richness,SppAlphaCode,ScientificName,CommonNameEnglish
sprgmigr,71,NOPA,Setophaga americana,Northern Parula
sprgmigr,71,NOWA,Parkesia noveboracensis,Northern Waterthrush
sprgmigr,71,OSPR,Pandion haliaetus,Osprey
sprgmigr,71,PALM,Dulus dominicus,Palmchat
sprgmigr,71,PEFA,Falco peregrinus,Peregrine Falcon
sprgmigr,71,PETH,Margarops fuscatus,Pearly-eyed Thrasher
sprgmigr,71,PRAW,Setophaga discolor,Prairie Warbler
sprgmigr,71,PROW,Protonotaria citrea,Prothonotary Warbler
sprgmigr,71,RFLO,Agapornis roseicollis,Rosy-faced Lovebird
sprgmigr,71,RLTH,Turdus plumbeus,Red-legged Thrush
sprgmigr,71,ROPI,Columba livia,Rock Pigeon
sprgmigr,71,ROYT,Thalasseus maximus,Royal Tern
sprgmigr,71,RUTU,Arenaria interpres,Ruddy Turnstone
sprgmigr,71,SATE,Thalasseus sandvicensis,Sandwich Tern
sprgmigr,71,SBAN,Crotophaga ani,Smooth-billed Ani
sprgmigr,71,SBMU,Lonchura punctulata,Scaly-breasted Munia
sprgmigr,71,SEPL,Charadrius semipalmatus,Semipalmated Plover
sprgmigr,71,SESA,Calidris pusilla,Semipalmated Sandpiper
sprgmigr,71,SHCO,Molothrus bonariensis,Shiny Cowbird
sprgmigr,71,SNEG,Egretta thula,Snowy Egret
sprgmigr,71,SNPI,Patagioenas squamosa,Scaly-naped Pigeon
sprgmigr,71,SPSA,Actitis macularius,Spotted Sandpiper
sprgmigr,71,SUCO,Cacatua galerita,Sulphur-crested Cockatoo
sprgmigr,71,TUVU,Cathartes aura,Turkey Vulture
sprgmigr,71,VEHU,Mellisuga minima,Vervain Hummingbird
sprgmigr,71,VIWE,Ploceus cucullatus,Village Weaver
sprgmigr,71,WILL,Tringa semipalmata,Willet
sprgmigr,71,WWDO,Zenaida asiatica,White-winged Dove
sprgmigr,71,YCNH,Nyctanassa violacea,Yellow-crowned Night-Heron
sprgmigr,71,YFGR,Tiaris olivaceus,Yellow-faced Grassquit
sprgmigr,71,YTWA,Setophaga dominica,Yellow-throated Warbler
